variant_name,impressions,clicks,cost,device,location,user_segment,hour
B,1677,671,42.08,mobile,USA,new_user,19
C,4094,338,34.85,mobile,BRA,new_user,0
A,3744,1094,15.68,tablet,CAN,returning_user,5
C,3626,2927,22.49,desktop,DEU,free,23
B,275,1560,44.23,desktop,DEU,new_user,9
A,2428,2848,37.86,mobile,USA,premium,11
B,4287,427,44.83,mobile,BRA,free,3
A,1577,275,41.71,tablet,USA,new_user,11
C,3659,2561,42.8,desktop,CAN,free,15
C,945,1004,24.34,desktop,JPN,premium,10
A,4592,2149,5.74,tablet,USA,returning_user,12
B,3985,1668,1.46,desktop,BRA,free,23
A,1943,909,2.82,tablet,JPN,new_user,2
B,1212,2655,14.43,desktop,DEU,premium,1
C,801,1876,24.71,mobile,BRA,premium,12
B,4095,1093,3.15,tablet,DEU,premium,5
A,1777,908,31.59,desktop,JPN,returning_user,13
C,3832,31,48.79,mobile,USA,free,15
B,3471,2157,39.62,tablet,JPN,new_user,15
A,2483,10,23.74,desktop,JPN,returning_user,17
C,1806,2624,40.79,desktop,CAN,premium,9
B,1389,2043,48.38,desktop,CAN,free,23
A,2752,1196,48.62,mobile,BRA,new_user,12
B,1560,2859,29.85,tablet,BRA,free,18
C,1878,81,15.52,mobile,CAN,returning_user,15
A,671,1341,25.65,mobile,USA,new_user,22
B,1908,235,5.51,mobile,BRA,new_user,17
C,944,255,2.95,mobile,CAN,premium,10
B,4852,294,49.89,mobile,USA,new_user,3
C,2378,1232,34.81,mobile,CAN,premium,17
C,2979,2822,28.78,tablet,JPN,premium,6
A,4418,2060,35.76,mobile,USA,premium,16
C,3578,729,17.25,mobile,USA,premium,15
A,1049,1048,47.15,tablet,USA,returning_user,0
C,4151,2922,33.25,desktop,JPN,new_user,13
C,4633,724,30.71,desktop,USA,returning_user,17
A,4334,2197,47.23,tablet,DEU,free,1
C,1497,955,25.13,tablet,USA,new_user,22
A,4956,2743,43.24,tablet,CAN,new_user,2
B,4243,2771,41.39,tablet,JPN,premium,17
A,3684,1554,39.97,desktop,CAN,new_user,18
B,1550,2844,24.38,desktop,DEU,returning_user,20
C,4883,515,23.58,mobile,DEU,premium,22
A,884,1082,12.35,tablet,JPN,free,15
B,2890,309,11.71,mobile,CAN,new_user,11
B,2847,936,13.73,desktop,CAN,returning_user,3
C,4070,270,5.84,tablet,JPN,returning_user,1
A,1531,1766,35.63,tablet,BRA,premium,19
A,4468,808,39.71,tablet,BRA,free,5
C,190,2709,17.94,desktop,BRA,free,9
A,440,1573,31.53,mobile,DEU,returning_user,11
A,2862,1183,24.41,tablet,BRA,free,10
B,2118,2361,24.89,desktop,BRA,returning_user,6
A,2686,2861,33.47,desktop,DEU,premium,17
C,600,1147,27.95,desktop,BRA,returning_user,22
C,3857,168,19.04,mobile,USA,free,23
B,3782,2645,20.94,tablet,DEU,free,4
A,3085,676,19.95,mobile,CAN,free,19
A,2167,266,42.34,mobile,USA,premium,19
B,1316,985,42.61,desktop,USA,new_user,8
B,4039,805,29.1,mobile,CAN,premium,16
B,2813,2545,1.96,desktop,BRA,free,21
A,2315,28,0.81,desktop,USA,premium,21
B,598,1430,18.61,tablet,DEU,premium,1
C,675,116,11.76,desktop,DEU,premium,11
